,City,Country ID,Date,Cloudiness,Humidity,Lat,Lon,Max_temp,Wind Speed
135,wilkie,ca,2019-10-07 01:58:43+00:00,1,62,-108.71,52.41,51.8,2.1
136,yertsevo,ru,2019-10-07 01:58:44+00:00,100,96,40.09,60.8,31.78,4.74
137,thompson,ca,2019-10-07 01:52:12+00:00,75,86,-97.86,55.74,39.2,3.1
138,katsuura,jp,2019-10-07 01:53:41+00:00,20,68,134.5,33.93,77.0,1.0
139,pak phanang,th,2019-10-07 01:58:45+00:00,20,88,100.2,8.35,80.6,1.5
140,la paz,mx,2019-10-07 01:54:08+00:00,5,48,-110.32,24.15,87.8,3.6
141,maraa,br,2019-10-07 01:58:46+00:00,67,68,-65.37,-1.83,79.99,0.89
142,half moon bay,us,2019-10-07 01:54:34+00:00,1,52,-122.43,37.46,84.2,3.1
143,salalah,om,2019-10-07 01:52:50+00:00,75,83,54.1,17.01,78.8,1.5
144,kodiak,us,2019-10-07 01:52:09+00:00,1,62,-94.76,39.95,55.4,2.1
145,independence,us,2019-10-07 01:55:06+00:00,1,82,-94.42,39.09,57.99,1.5
146,ucluelet,ca,2019-10-07 01:55:09+00:00,90,93,-125.55,48.94,54.0,1.5
147,new norfolk,au,2019-10-07 01:52:26+00:00,75,44,147.06,-42.78,57.2,4.6
148,tuatapere,nz,2019-10-07 01:52:58+00:00,100,67,167.69,-46.13,54.39,6.09
149,neuquen,ar,2019-10-07 01:58:49+00:00,0,33,-68.06,-38.95,62.6,5.7
150,severo-kurilsk,ru,2019-10-07 01:53:40+00:00,0,81,156.12,50.68,45.91,8.47
151,chalus,ir,2019-10-07 01:58:49+00:00,0,87,51.42,36.66,60.8,2.1
152,sol-iletsk,ru,2019-10-07 01:58:50+00:00,98,35,55.0,51.16,49.39,6.17
153,skibbereen,ie,2019-10-07 01:58:50+00:00,75,93,-9.27,51.55,55.4,8.7
154,bara,sd,2019-10-07 01:52:08+00:00,77,92,10.6,10.41,70.97,1.61
155,bukachacha,ru,2019-10-07 01:58:51+00:00,100,41,116.91,52.99,34.68,7.19
156,hearst,ca,2019-10-07 01:58:52+00:00,81,85,-83.67,49.69,47.39,5.2
157,mayumba,ga,2019-10-07 01:58:52+00:00,100,89,10.65,-3.44,76.64,6.12
158,bagdarin,ru,2019-10-07 01:55:44+00:00,0,37,113.59,54.44,31.69,5.35
159,saint-pierre,pm,2019-10-07 01:58:53+00:00,75,100,4.24,48.95,53.6,5.7
160,butaritari,ki,2019-10-07 01:52:35+00:00,0,63,172.79,3.07,84.65,1.21
161,atasu,kz,2019-10-07 01:58:54+00:00,0,32,71.64,48.68,50.23,3.88
162,khatanga,ru,2019-10-07 01:52:27+00:00,0,87,102.47,71.98,22.93,4.04
163,camacha,pt,2019-10-07 01:52:12+00:00,75,78,-16.33,33.08,73.4,4.6
164,provideniya,ru,2019-10-07 01:53:06+00:00,90,80,-173.23,64.42,37.4,8.0
165,resistencia,ar,2019-10-07 01:58:55+00:00,0,100,-58.99,-27.45,60.8,1.0
166,ilulissat,gl,2019-10-07 01:52:16+00:00,100,86,-51.1,69.22,33.8,6.7
167,ribeira grande,pt,2019-10-07 01:52:29+00:00,69,94,-28.7,38.52,68.65,9.85
168,masyaf,sy,2019-10-07 01:58:57+00:00,40,65,36.34,35.06,77.0,3.1
169,krasnik,pl,2019-10-07 01:58:57+00:00,0,74,22.23,50.92,35.01,1.5
170,oranjemund,na,2019-10-07 01:55:09+00:00,0,87,16.43,-28.55,52.66,1.086
171,caravelas,br,2019-10-07 01:54:53+00:00,0,86,-39.27,-17.73,72.93,3.43
172,atuona,pf,2019-10-07 01:52:10+00:00,0,68,-139.03,-9.8,80.33,6.14
173,lavrentiya,ru,2019-10-07 01:54:15+00:00,71,76,-170.99,65.58,35.67,1.886
174,devils lake,us,2019-10-07 01:58:59+00:00,1,61,-98.87,48.11,51.8,5.7
175,zhangye,cn,2019-10-07 01:58:59+00:00,5,53,100.46,38.94,52.36,3.09
176,rexburg,us,2019-10-07 01:57:40+00:00,1,39,-111.79,43.82,51.8,1.5
177,vardo,no,2019-10-07 01:52:16+00:00,90,82,-77.74,39.62,69.01,2.1
178,dingle,ie,2019-10-07 01:54:42+00:00,63,72,122.67,11.0,84.67,3.809
179,taoudenni,ml,2019-10-07 01:54:05+00:00,0,11,-3.98,22.68,81.21,3.06
180,wanaka,nz,2019-10-07 01:59:01+00:00,78,39,169.14,-44.7,64.99,5.36
181,east london,za,2019-10-07 01:52:44+00:00,82,87,27.91,-33.02,65.88,2.471
182,port hedland,au,2019-10-07 01:55:22+00:00,0,52,118.58,-20.31,87.8,5.7
183,yar-sale,ru,2019-10-07 01:59:03+00:00,0,76,70.83,66.83,34.16,9.49
184,kattivakkam,in,2019-10-07 01:59:03+00:00,20,83,80.32,13.22,82.4,3.74
185,abha,sa,2019-10-07 01:59:03+00:00,0,54,42.5,18.22,66.2,4.63
186,itarema,br,2019-10-07 01:59:04+00:00,8,84,-39.92,-2.92,75.15,3.124
187,esmeraldas,ec,2019-10-07 01:59:04+00:00,0,60,-44.31,-19.76,73.4,3.6
188,dickinson,us,2019-10-07 01:54:13+00:00,1,65,-102.79,46.88,46.99,3.6
189,bimbo,cf,2019-10-07 01:59:05+00:00,0,100,18.53,4.33,71.6,1.5
190,vila franca do campo,pt,2019-10-07 01:53:11+00:00,75,94,-25.43,37.72,73.4,5.1
191,pevek,ru,2019-10-07 01:53:59+00:00,88,70,170.27,69.7,24.1,2.309
192,belmonte,br,2019-10-07 01:59:06+00:00,13,74,-7.35,40.36,57.0,1.24
193,vuktyl,ru,2019-10-07 01:59:07+00:00,100,85,57.31,63.86,32.86,1.82
194,nagorsk,ru,2019-10-07 01:59:08+00:00,100,89,50.8,59.32,42.12,3.6
195,dharchula,in,2019-10-07 01:59:08+00:00,97,55,80.53,29.85,57.13,1.33
196,mandalgovi,mn,2019-10-07 01:54:38+00:00,64,47,106.27,45.76,41.77,5.66
197,san matias,bo,2019-10-07 01:59:09+00:00,81,74,-58.4,-16.36,68.16,1.85
198,san patricio,mx,2019-10-07 01:54:03+00:00,36,96,-56.83,-26.98,58.95,2.06
199,jumla,np,2019-10-07 01:56:04+00:00,49,67,82.18,29.28,57.0,0.592
200,primo tapia,mx,2019-10-07 01:59:10+00:00,1,49,-116.92,32.22,80.6,2.6
201,lerwick,gb,2019-10-07 01:59:10+00:00,100,87,-1.15,60.15,50.0,11.8
202,correntina,br,2019-10-07 01:59:11+00:00,58,54,-44.63,-13.34,75.97,0.839
203,sitka,us,2019-10-07 01:52:10+00:00,0,72,-99.65,37.17,53.01,3.13
204,yurimaguas,pe,2019-10-07 01:59:11+00:00,0,79,-76.1,-5.9,70.32,1.85
205,masallatah,ly,2019-10-07 01:59:12+00:00,1,45,14.0,32.62,64.4,2.352
206,codrington,ag,2019-10-07 01:54:53+00:00,0,36,153.24,-28.95,93.2,1.0
207,torbay,ca,2019-10-07 01:55:18+00:00,20,86,-52.73,47.66,45.0,3.6
208,tateyama,jp,2019-10-07 01:59:13+00:00,75,68,137.31,36.66,79.0,1.0
209,qandala,so,2019-10-07 01:59:13+00:00,0,75,49.87,11.47,84.67,1.48
210,pisco,pe,2019-10-07 01:59:14+00:00,90,82,-76.2,-13.71,62.01,7.7
211,ostrovnoy,ru,2019-10-07 01:59:14+00:00,100,96,39.51,68.05,32.02,4.76
212,luderitz,na,2019-10-07 01:54:18+00:00,0,71,15.16,-26.65,57.2,4.1
213,adre,td,2019-10-07 01:59:15+00:00,73,79,22.2,13.47,72.54,0.62
214,warrington,us,2019-10-07 01:59:16+00:00,20,100,-2.59,53.39,53.01,3.1
215,veraval,in,2019-10-07 01:59:16+00:00,20,93,0.71,49.65,57.2,3.1
216,daru,pg,2019-10-07 01:53:05+00:00,100,88,143.21,-9.07,77.95,5.56
217,beyneu,kz,2019-10-07 01:59:17+00:00,1,47,55.19,45.32,55.96,5.695
218,tuktoyaktuk,ca,2019-10-07 01:52:14+00:00,90,93,-133.03,69.44,32.0,8.2
219,chokurdakh,ru,2019-10-07 01:52:06+00:00,100,86,147.9,70.62,21.04,2.84
220,bashtanka,ua,2019-10-07 01:59:18+00:00,73,82,32.45,47.4,44.13,1.878
221,valparaiso,cl,2019-10-07 01:59:19+00:00,1,67,-87.06,41.47,61.0,2.1
222,norman wells,ca,2019-10-07 01:52:48+00:00,40,55,-126.83,65.28,35.6,2.1
223,hofn,is,2019-10-07 01:59:19+00:00,100,91,-15.21,64.25,49.03,7.632
224,puerto del rosario,es,2019-10-07 01:59:20+00:00,90,78,-13.86,28.5,71.6,6.2
225,biak,id,2019-10-07 01:59:20+00:00,0,78,122.88,-0.91,80.85,6.286
226,lagoa,pt,2019-10-07 01:55:43+00:00,1,77,-8.45,37.14,68.0,0.5
227,castanos,mx,2019-10-07 01:59:21+00:00,0,31,-101.42,26.78,89.01,0.89
228,timra,se,2019-10-07 01:59:22+00:00,94,85,17.33,62.49,39.99,4.1
229,roebourne,au,2019-10-07 01:59:22+00:00,10,7,117.15,-20.77,103.86,5.62
230,bambous virieux,mu,2019-10-07 01:52:48+00:00,40,83,57.76,-20.34,73.4,7.7
231,podgornoye,ru,2019-10-07 01:59:23+00:00,79,86,82.64,57.79,49.37,2.17
232,red bank,us,2019-10-07 01:59:23+00:00,40,94,-85.29,35.12,73.4,1.24
233,russell,nz,2019-10-07 01:59:24+00:00,1,58,-98.86,38.9,57.2,1.5
234,cabinda,ao,2019-10-07 01:59:24+00:00,100,84,12.19,-5.56,77.58,6.52
235,sherlovaya gora,ru,2019-10-07 01:59:25+00:00,0,29,116.31,50.53,39.25,10.8
236,tiksi,ru,2019-10-07 01:55:54+00:00,91,92,128.87,71.64,24.42,2.37
237,waddan,ly,2019-10-07 01:59:26+00:00,62,49,16.14,29.16,65.34,2.962
238,aripuana,br,2019-10-07 01:59:26+00:00,62,95,-60.63,-9.17,71.64,1.12
239,hattiesburg,us,2019-10-07 01:55:46+00:00,1,100,-89.29,31.33,78.8,1.87
240,saint-denis,re,2019-10-07 01:59:27+00:00,94,76,2.36,48.94,55.4,5.1
